cve_concatenada,cve_rha,nom_rha,probabilidad,t_prob
21105,4,Balsas,59.59,Media
21106,4,Balsas,51.8,Media
21107,10,Golfo Centro,98.65026913,Muy Alta
21108,4,Balsas,21.23,Baja
21109,10,Golfo Centro,49.52219027,Media
21110,4,Balsas,74.76,Alta
21111,10,Golfo Centro,66.43875378,Alta
21112,4,Balsas,49.42,Media
21113,4,Balsas,64.54,Alta
21114,4,Balsas,0.0,Muy Baja
21115,4,Balsas,72.26,Alta
21116,10,Golfo Centro,71.21454695,Alta
21117,4,Balsas,21.62,Baja
21118,4,Balsas,65.05,Alta
21119,4,Balsas,18.94,Muy Baja
21120,10,Golfo Centro,83.24499061,Muy Alta
21121,4,Balsas,67.04,Alta
21122,4,Balsas,65.31,Alta
21123,10,Golfo Centro,76.9439125,Alta
21124,10,Golfo Centro,57.37783634,Media
21125,4,Balsas,45.14,Media
21126,4,Balsas,68.29,Alta
21127,4,Balsas,46.14,Media
21128,4,Balsas,34.36,Baja
21129,10,Golfo Centro,58.51144188,Media
21130,4,Balsas,54.95,Media
21131,4,Balsas,22.3,Baja
21132,4,Balsas,43.11,Media
21133,4,Balsas,68.2,Alta
21134,4,Balsas,65.28,Alta
21135,4,Balsas,13.67,Muy Baja
21136,4,Balsas,27.26,Baja
21137,4,Balsas,14.0,Muy Baja
21138,4,Balsas,72.23,Alta
21139,4,Balsas,37.4,Baja
21140,4,Balsas,33.18,Baja
21141,4,Balsas,51.91,Media
21142,4,Balsas,56.46,Media
21143,4,Balsas,54.35,Media
21144,4,Balsas,94.68,Muy Alta
21145,10,Golfo Centro,97.08969694,Muy Alta
21146,4,Balsas,57.63,Media
21147,4,Balsas,72.75,Alta
21148,4,Balsas,85.95,Muy Alta
21149,10,Golfo Centro,66.43652884,Alta
21150,4,Balsas,33.96,Baja
21151,4,Balsas,78.48,Alta
21152,4,Balsas,50.0,Media
21153,4,Balsas,45.42,Media
21154,4,Balsas,65.3,Alta
21155,4,Balsas,43.96,Media
21156,10,Golfo Centro,1.653313112,Muy Baja
21157,4,Balsas,81.34,Muy Alta
21158,10,Golfo Centro,89.38464567,Muy Alta
21159,4,Balsas,94.54,Muy Alta
21160,4,Balsas,74.83,Alta
21161,10,Golfo Centro,66.98620121,Alta
21162,10,Golfo Centro,91.69960193,Muy Alta
21163,4,Balsas,66.66,Alta
21164,4,Balsas,64.4,Alta
21165,4,Balsas,95.96,Muy Alta
21166,4,Balsas,65.82,Alta
21167,10,Golfo Centro,72.29310099,Alta
21168,4,Balsas,96.84,Muy Alta
21169,4,Balsas,51.56,Media
21170,4,Balsas,45.25,Media
21171,4,Balsas,65.31,Alta
21172,10,Golfo Centro,65.75821568,Alta
21173,10,Golfo Centro,19.75319564,Muy Baja
21174,10,Golfo Centro,21.40183062,Baja
21175,4,Balsas,79.55,Alta
21176,4,Balsas,53.2,Media
21177,10,Golfo Centro,76.53730416,Alta
21178,10,Golfo Centro,67.28794192,Alta
21179,4,Balsas,27.48,Baja
21180,4,Balsas,42.86,Media
21181,4,Balsas,43.72,Media
21182,4,Balsas,72.8,Alta
